,weights,returns,volatility,sectors
LHX,0.014516099999999999,0.0027622686689999995,0.0039687017399999995,Industry
ODFL,0.068463,0.02619805158,0.020402658629999997,Industry
SAIA,0.007020899999999999,0.0027975478139999994,0.002794528827,Industry
AXP,0.0016465499999999999,0.000345973086,0.00056476665,Financial Services
TROW,0.01234755,0.002388510072,0.0037093274955,Financial Services
CG,0.0179883,0.00497016729,0.0065373079859999995,Financial Services
CSWC,0.013017599999999999,0.0025851651839999996,0.00430817472,Financial Services
CBRE,0.033095999999999993,0.008077409759999998,0.011623977119999997,Real Estate
SBAC,0.071904,0.01706066208,0.0192415104,Real Estate
EPAM,0.0091785,0.00387920124,0.0034547873999999997,Tech
QCOM,2.4299999999999998e-05,7.2321659999999995e-06,9.135828e-06,Tech
ASML,0.010378499999999999,0.004266186209999999,0.0037432135949999994,Tech
DSGX,0.0060897,0.001617546114,0.0017747212710000002,Tech
MGIC,0.0027567,0.0006276454559999999,0.00092101347,Tech
RDWR,0.0015722999999999998,0.000268328718,0.00041785444799999995,Tech
CTLT,0.0087756,0.002508154236,0.0031548281999999998,Healthcare
BRKR,0.006655499999999999,0.0016109637749999997,0.0022220052299999995,Healthcare
ICLR,0.010075200000000001,0.002247474864,0.0029919313920000004,Healthcare
MODV,0.0044937,0.000912086289,0.001724367501,Healthcare
Bonds,0.7,0.012459999999999999,0.0,Bonds
